timestamp,Clear Invoice,Create Purchase Order Item,Record Goods Receipt,Record Invoice Receipt,Vendor creates invoice,total_events
2018-01-02 03:00:00+00:00,0,4,0,0,0,4
2018-01-02 03:30:00+00:00,0,0,0,0,0,0
2018-01-02 04:00:00+00:00,0,0,0,0,0,0
2018-01-02 04:30:00+00:00,0,0,0,0,0,0
2018-01-02 05:00:00+00:00,0,0,0,0,0,0
2018-01-02 05:30:00+00:00,0,0,0,0,0,0
2018-01-02 06:00:00+00:00,0,4,0,0,0,4
2018-01-02 06:30:00+00:00,0,16,0,0,0,16
2018-01-02 07:00:00+00:00,0,14,0,0,0,14
2018-01-02 07:30:00+00:00,0,5,0,0,0,5
2018-01-02 08:00:00+00:00,0,5,0,0,0,5
2018-01-02 08:30:00+00:00,0,35,0,0,0,35
2018-01-02 09:00:00+00:00,0,15,0,0,0,15
2018-01-02 09:30:00+00:00,0,7,0,0,0,7
2018-01-02 10:00:00+00:00,0,18,0,0,0,18
2018-01-02 10:30:00+00:00,0,16,0,0,0,16
2018-01-02 11:00:00+00:00,0,19,0,0,0,19
2018-01-02 11:30:00+00:00,0,9,0,0,0,9
2018-01-02 12:00:00+00:00,0,22,0,0,0,22
2018-01-02 12:30:00+00:00,0,1,0,0,0,1
2018-01-02 13:00:00+00:00,0,8,0,0,0,8
2018-01-02 13:30:00+00:00,0,22,0,0,0,22
2018-01-02 14:00:00+00:00,0,5,0,0,0,5
2018-01-02 14:30:00+00:00,0,10,0,0,0,10
2018-01-02 15:00:00+00:00,0,1,0,0,0,1
2018-01-02 15:30:00+00:00,0,6,0,0,0,6
2018-01-02 16:00:00+00:00,0,10,0,0,0,10
2018-01-02 16:30:00+00:00,0,0,0,0,0,0
2018-01-02 17:00:00+00:00,0,0,0,0,0,0
2018-01-02 17:30:00+00:00,0,0,0,0,0,0
2018-01-02 18:00:00+00:00,0,0,0,0,0,0
2018-01-02 18:30:00+00:00,0,0,0,0,0,0
2018-01-02 19:00:00+00:00,0,0,0,0,0,0
2018-01-02 19:30:00+00:00,0,0,0,0,0,0
2018-01-02 20:00:00+00:00,0,0,0,0,0,0
2018-01-02 20:30:00+00:00,0,0,0,0,0,0
2018-01-02 21:00:00+00:00,0,0,0,0,0,0
2018-01-02 21:30:00+00:00,0,0,0,0,0,0
